Year,Armed forces personnel (% of total labor force),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Country Code
2022-01-01,,0.90332192020374,2.8910746674325,1.97092717701686,1.62054326390324,1.00394318632328,2.15197828180848,19.2767797091913,8.6763166979687,28.4131031289793,79.1026776348679,90.319740115708,69.4349084016362,46.27289242661751,168181985.0,32.7,21.0,26.47,83.25450651436729,3.82001346397488,8.40687433679583,6.28357780160247,3.614,3.681,3.65,2.916691543771144,5.515800801316299,4.312651232548021,USA
2023-01-01,,,,,,,,,,,,,,46.46156173661373,170548899.0,32.64,20.65,26.28,83.8591440612572,,,,3.448,3.78,3.625,,,,USA
1991-01-01,0.5809380447138556,2.9920398455572,9.32128249355065,6.47680894412058,3.49125696950289,2.38992495411216,4.39022907561003,23.8770925092864,11.8473070047917,33.696512502408,72.6316505212107,85.7627680410962,61.913258421982,44.630308591587315,14803644.0,48.48,27.5,36.95,77.86530182467645,10.0569809314909,18.5712873540116,14.7448075115488,9.689,10.822,10.316,7.0649243125294445,9.250018551900284,8.267998567428233,CAN
1992-01-01,0.5547211061842406,3.0289291664563,9.22383522730045,6.41720318150804,3.45133011906065,2.29526598340654,4.40893630741861,23.1816328379157,11.6716144124131,32.7157605135632,73.367029418555,86.0331027751132,62.8753171190845,44.79851886758692,14782203.0,51.95,31.18,40.59,78.31067540486379,10.5853317850592,18.9138402136622,15.1405795831809,10.192,12.013,11.197,7.55640261860285,9.690004986361732,8.723376401672901,CAN
1993-01-01,0.5110527599437923,2.98014144169151,9.3182153793543,6.44735682285918,3.48252931053293,2.37517918227178,4.39941676233704,22.5100367929061,10.9326328295445,32.0961276261239,74.0074338965609,86.6921879881837,63.5044556115391,44.9407894944767,14871263.0,50.83,29.32,39.07,78.65229845860046,11.1980539028547,19.4653765785611,15.7206557384019,10.677,11.949,11.377,8.217912461163209,10.147161199206808,9.273306507814073,CAN
1994-01-01,0.49955077064365255,2.95246886944771,8.77301528251594,6.13798814897182,3.34804154978784,2.30064237830157,4.214425236886,22.6692627039408,10.9111636850371,32.3954215927161,73.9826957462713,86.7881775050273,63.3901395783278,44.97039295795934,15013489.0,49.09,27.16,37.09,78.68722382587522,11.4357271704628,18.9227577603585,15.5332944086436,9.795,10.885,10.395,8.483258301015047,10.149742477842544,9.39530625967181,CAN
1995-01-01,0.500670614226281,3.04324114002518,8.81102806479968,6.19392433861351,3.1534910855014,2.12367109440516,4.00890722545735,22.9279968184437,11.2861494142222,32.5982557062666,73.9185194066163,86.5901794913726,63.3928370682761,45.185972677670435,15119721.0,50.22,28.34,38.28,79.327288035002,11.6214480952454,19.0292842635627,15.6680171710467,9.115,9.798,9.489,8.578206955220198,10.218256198762994,9.474092832433165,CAN
1996-01-01,0.5222917113090816,3.08217512745672,8.55040613034555,6.065328914639,3.11228725920581,2.09670432479944,3.95830491631751,22.7503939647691,11.1245160933393,32.4351896136034,74.1373187760251,86.7787795818613,63.6065054700791,45.28101584821548,15278818.0,49.14,26.84,36.97,79.63137472283815,12.2249717759313,19.5110577664418,16.1998431748982,9.288,9.894,9.62,9.142796648474544,10.960651636096232,10.134514260259245,CAN
1997-01-01,0.4684045355475875,3.18379501514674,8.25623707283858,5.9496125501944,3.00731239250706,2.04183058736908,3.81250033336286,23.0570689511101,11.4483934471237,32.7384058347152,73.9356257498703,86.5097759655072,63.4490938319219,45.38365101942094,15520772.0,49.11,26.32,36.68,80.00858416636667,13.2207181208682,20.3292285144219,17.0967294130515,8.919,9.252,9.101,10.036907506606221,12.072991441583262,11.147109769370168,CAN
1998-01-01,0.44382301467559965,3.14619034224211,7.96750297074762,5.75901256315555,2.99099816287344,2.06617875218333,3.77270262822738,23.1172566720744,11.4727230262985,32.9598095452617,73.8917451650521,86.4610831145594,63.2675005956818,45.663614386768884,15760787.0,50.09,27.93,38.07,80.94828781366977,13.3296855063535,20.4392416031847,17.182572514184,7.988,8.524,8.279,10.183495164111422,12.471738632437079,11.423559951028444,CAN
